run,enemy,generation,max.fitness,mean.fitness,median.fitness,min.fitness,std.fitness,mutation_p_individual,mutation_p_genome,mutation_sigma,elites,phase
28/09/2024 09:51:11,4,2,55.871,18.937,21.409,2.779,11.366,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,3,65.762,21.555,21.62,2.047,12.481,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,4,65.762,23.863,21.62,2.047,12.595,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,5,65.762,26.985,21.62,2.047,13.675,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,6,74.535,28.754,21.62,2.984,15.161,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,7,74.627,29.7,21.62,3.42,18.165,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,8,74.627,29.624,21.62,2.897,19.188,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,9,74.627,30.817,21.62,3.092,19.724,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,10,86.986,35.554,29.493,3.219,21.924,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,11,86.986,42.559,39.226,3.001,23.686,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,12,89.662,45.074,39.295,3.07,24.152,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,13,89.662,50.158,47.724,2.727,24.817,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,14,89.662,53.522,56.08,2.764,26.067,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,15,89.662,54.85,56.265,2.764,24.613,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,16,89.662,55.105,56.333,2.932,25.246,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,17,89.662,53.967,56.093,3.944,24.569,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,18,89.662,53.408,56.053,2.781,24.932,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,19,89.662,54.095,56.028,3.963,25.566,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,20,89.662,57.273,64.963,3.835,25.726,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,21,89.662,60.991,65.155,3.841,25.427,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,22,90.128,65.126,74.055,2.663,25.222,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,23,90.128,64.352,82.923,2.663,28.097,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,24,90.128,62.011,70.245,2.897,27.472,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,25,90.128,63.312,74.007,3.29,27.624,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,26,90.128,66.04,84.076,2.869,27.725,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,27,90.128,69.435,83.627,2.822,22.933,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,28,90.128,70.703,84.206,2.822,24.092,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,29,90.128,70.062,84.813,3.119,26.046,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,30,90.128,73.149,85.165,-6.096,24.362,0.5,0.5,0.35,5,-
28/09/2024 09:52:19,4,30,21.62,-1.67,-5.371,-7.27,7.362,0.5,0.5,0.35,5,-
28/09/2024 09:52:19,4,1,73.907,7.463,3.622,-6.293,12.326,0.5,0.5,0.35,5,-
28/09/2024 09:52:19,4,2,73.907,15.625,21.519,-5.412,11.313,0.5,0.5,0.35,5,-
28/09/2024 09:52:19,4,3,73.907,21.075,21.62,3.06,8.739,0.5,0.5,0.35,5,-
28/09/2024 09:52:19,4,4,73.907,22.129,21.62,3.06,8.129,0.5,0.5,0.35,5,-
28/09/2024 09:52:19,4,5,73.907,21.949,21.62,-5.004,8.887,0.5,0.5,0.35,5,-
28/09/2024 09:52:19,4,6,73.907,22.562,21.62,3.634,8.087,0.5,0.5,0.35,5,-
28/09/2024 09:52:19,4,7,73.907,22.555,21.62,3.28,8.085,0.5,0.5,0.35,5,-
28/09/2024 09:52:19,4,8,73.907,22.669,21.62,3.18,9.587,0.5,0.5,0.35,5,-
