run,enemy,generation,fitness,mean.fitness,std.fitness
25/09/2024 13:19:07,3,4,86.467,36.104,22.025
25/09/2024 13:19:07,3,5,86.467,38.73,21.357
25/09/2024 13:19:07,3,6,86.619,46.066,24.822
25/09/2024 13:19:07,3,7,87.991,51.303,19.824
25/09/2024 13:19:07,3,8,86.467,55.618,18.113
25/09/2024 13:19:07,3,9,85.755,52.836,18.176
25/09/2024 13:19:07,3,10,89.681,55.779,18.692
25/09/2024 13:19:07,3,11,86.593,49.18,15.63
25/09/2024 13:19:07,3,12,86.791,46.869,19.239
25/09/2024 13:19:07,3,13,86.791,53.663,17.844
25/09/2024 13:19:07,3,14,89.219,59.776,17.337
25/09/2024 13:19:07,3,15,86.812,61.945,14.389
25/09/2024 13:19:07,3,16,90.36,63.228,16.906
25/09/2024 13:19:07,3,17,90.36,62.691,15.457
25/09/2024 13:19:07,3,18,90.36,59.111,16.668
25/09/2024 13:19:07,3,19,86.812,58.731,17.48
25/09/2024 13:19:07,3,20,87.069,60.927,19.021
25/09/2024 13:19:15,3,0,21.095,-4.213,5.238
25/09/2024 13:19:15,3,1,22.581,-1.865,7.315
25/09/2024 13:19:15,3,2,30.376,2.674,9.754
25/09/2024 13:19:15,3,3,30.38,10.856,10.741
25/09/2024 13:19:15,3,4,30.38,16.23,8.711
25/09/2024 13:19:15,3,5,22.581,19.186,6.531
25/09/2024 13:19:15,3,6,22.581,21.289,4.039
25/09/2024 13:19:15,3,7,39.912,22.515,4.033
25/09/2024 13:19:15,3,8,39.912,22.812,3.676
25/09/2024 13:19:15,3,9,22.581,22.578,0.017
25/09/2024 13:19:15,3,10,22.581,22.257,1.731
25/09/2024 13:19:15,3,11,22.581,21.837,3.395
25/09/2024 13:19:15,3,12,22.581,21.868,3.397
25/09/2024 13:19:15,3,13,22.581,21.906,3.229
25/09/2024 13:19:15,3,14,22.581,21.006,4.757
25/09/2024 13:19:15,3,15,22.581,22.239,1.845
25/09/2024 13:19:15,3,16,22.581,22.281,1.616
25/09/2024 13:19:15,3,17,22.581,22.581,0.0
25/09/2024 13:19:15,3,18,22.581,22.241,1.834
25/09/2024 13:19:15,3,19,30.662,22.21,2.867
25/09/2024 13:19:15,3,20,30.662,21.937,3.907
25/09/2024 13:19:19,3,0,56.742,2.166,15.866
25/09/2024 13:19:19,3,1,56.742,12.298,19.156
25/09/2024 13:19:19,3,2,85.991,29.421,20.71
25/09/2024 13:19:19,3,3,85.991,37.028,20.336
25/09/2024 13:19:19,3,4,85.991,42.571,22.149
25/09/2024 13:19:19,3,5,85.991,43.433,20.68
25/09/2024 13:19:19,3,6,85.991,50.833,16.561
25/09/2024 13:19:19,3,7,85.581,52.455,13.593
25/09/2024 13:19:19,3,8,85.581,52.991,13.282
25/09/2024 13:19:19,3,9,85.614,49.411,17.364
25/09/2024 13:19:19,3,10,85.614,55.977,10.536
25/09/2024 13:19:19,3,11,85.614,59.59,10.595
25/09/2024 13:19:19,3,12,85.614,61.361,8.242
25/09/2024 13:19:19,3,13,86.591,64.599,12.376
25/09/2024 13:19:19,3,14,87.041,65.245,10.684
25/09/2024 13:19:19,3,15,87.041,61.921,14.251
25/09/2024 13:19:19,3,16,87.041,60.081,14.384
25/09/2024 13:19:19,3,17,87.041,60.833,15.508
25/09/2024 13:19:19,3,18,87.041,62.739,14.785
25/09/2024 13:19:19,3,19,87.041,64.707,18.449
25/09/2024 13:19:19,3,20,86.814,69.907,13.43
25/09/2024 13:19:28,3,0,30.18,1.159,12.186
25/09/2024 13:19:28,3,1,57.145,15.692,16.219
25/09/2024 13:19:28,3,2,74.742,31.666,17.462
25/09/2024 13:19:28,3,3,74.742,42.553,18.035
25/09/2024 13:19:28,3,4,84.391,46.288,19.207
25/09/2024 13:19:28,3,5,84.391,49.806,18.064
25/09/2024 13:19:28,3,6,84.391,57.482,12.731
25/09/2024 13:19:28,3,7,86.612,58.178,13.238
25/09/2024 13:19:28,3,8,74.75,55.607,9.672
25/09/2024 13:19:28,3,9,74.946,53.85,13.828
25/09/2024 13:19:28,3,10,74.752,56.18,8.584
25/09/2024 13:19:28,3,11,85.783,57.116,12.107
25/09/2024 13:19:28,3,12,85.783,58.64,11.114
25/09/2024 13:19:28,3,13,85.783,58.061,13.9
25/09/2024 13:19:28,3,14,85.783,58.932,11.619
25/09/2024 13:19:28,3,15,85.783,60.77,8.64
25/09/2024 13:19:28,3,16,85.783,56.608,15.465
25/09/2024 13:19:28,3,17,74.766,55.583,11.461
25/09/2024 13:19:28,3,18,74.754,52.885,12.178
25/09/2024 13:19:28,3,19,65.889,53.802,12.369
25/09/2024 13:19:28,3,20,65.742,53.805,8.963
25/09/2024 13:19:38,3,0,39.455,0.564,13.43
25/09/2024 13:19:38,3,1,39.455,6.275,14.716
25/09/2024 13:19:38,3,2,39.455,19.659,14.001
25/09/2024 13:19:38,3,3,39.455,22.96,9.857
25/09/2024 13:19:38,3,4,39.963,24.835,9.454
25/09/2024 13:19:38,3,5,48.413,26.152,8.262
25/09/2024 13:19:38,3,6,65.756,26.686,11.928
25/09/2024 13:19:38,3,7,65.756,28.66,10.17
25/09/2024 13:19:38,3,8,65.756,30.579,11.533
25/09/2024 13:19:38,3,9,65.756,31.126,12.997
25/09/2024 13:19:38,3,10,65.756,30.212,15.195
25/09/2024 13:19:38,3,11,65.756,34.575,14.325
25/09/2024 13:19:38,3,12,85.793,36.097,18.823
25/09/2024 13:19:38,3,13,88.725,42.726,20.449
25/09/2024 13:19:38,3,14,88.725,48.403,16.673
25/09/2024 13:19:38,3,15,88.725,51.624,15.717
25/09/2024 13:19:38,3,16,88.725,57.248,11.384
25/09/2024 13:19:38,3,17,88.725,55.029,14.471
25/09/2024 13:19:38,3,18,88.725,58.064,13.775
25/09/2024 13:19:38,3,19,88.725,55.414,15.432
25/09/2024 13:19:38,3,20,88.725,57.182,12.909
25/09/2024 13:19:46,3,0,39.18,-0.522,11.009
